date,temperature,rainfall,solar_rad,wind
20150327,15.62,0.00,16.42,3.39
20150328,17.29,0.00,15.15,4.11
20150301,14.43,0.00,14.74,4.57
20150302,16.95,0.00,15.63,2.66
20150303,16.27,0.00,18.02,3.83
20150304,22.44,0.00,14.47,2.66
20150305,13.86,0.00,19.14,3.81
20150306,21.46,16.61,19.58,2.46
20150307,16.97,0.00,18.41,4.15
20150308,14.99,0.00,17.98,2.09
20150409,13.15,0.00,17.65,5.62
20150410,19.28,2.73,16.83,1.79
20150411,12.46,0.00,15.87,4.08
20150412,17.08,0.00,16.96,2.26
20150413,12.20,0.00,21.67,3.09
20150414,19.58,0.00,17.54,3.93
20150415,19.68,0.00,22.78,3.68
20150416,16.85,0.00,22.13,4.39
20150417,16.09,2.19,19.47,4.25
20150418,9.16,0.00,16.62,4.08
20150419,22.14,3.45,19.74,1.79
20150420,14.22,0.00,21.54,5.80
20150421,19.04,0.00,19.36,2.53
20150422,21.04,0.00,18.60,3.39
20150423,21.52,0.00,21.99,3.52
20150424,12.43,0.00,19.00,2.73
20150425,25.95,0.00,19.85,2.69
20150426,25.57,0.00,20.30,2.01
20150427,26.14,0.00,21.77,4.51
20150428,25.56,1.70,20.35,3.82
20150401,25.26,0.00,18.55,3.30
20150402,27.26,0.00,20.46,2.42
20150403,25.78,0.00,19.74,3.28
20150404,22.04,0.00,23.64,2.37
20150405,30.45,0.00,16.90,1.90
20150406,22.85,0.00,16.34,3.84
20150407,21.20,3.65,22.00,2.23
20150408,28.28,0.00,22.44,4.66
20150409,18.83,2.45,21.62,3.74
20150410,28.28,0.00,21.15,2.56
20150511,35.98,0.00,21.08,2.47
20150512,21.70,0.00,23.66,4.37
20150513,25.36,5.68,21.64,3.30
20150514,25.94,0.00,20.90,3.11
20150515,19.54,1.93,21.11,3.15
20150516,21.98,0.00,22.19,3.72
20150517,25.42,0.00,20.12,4.24
20150518,23.29,0.00,17.58,3.62
20150519,21.96,0.00,20.97,2.99
20150520,24.43,0.00,22.12,4.39
20150521,28.11,0.00,19.56,2.07
20150522,24.54,0.00,22.97,1.65
20150523,25.95,0.00,21.51,5.30
20150524,23.33,0.00,27.19,2.12
20150525,24.84,0.00,28.99,1.61
20150526,28.59,3.54,21.60,3.10
20150527,21.44,0.00,20.51,2.97
20150528,24.06,5.37,22.33,5.12
20150501,31.12,0.00,24.68,2.63
20150502,27.98,0.00,20.65,2.53
20150503,32.21,0.00,24.10,3.55
20150504,28.91,0.00,24.60,3.56
20150505,23.95,0.00,25.56,4.81
20150506,30.03,13.92,23.05,3.42
20150507,26.47,0.00,26.62,2.34
20150508,27.37,0.00,25.86,0.97
20150509,32.02,0.00,22.70,3.35
20150510,33.43,0.00,20.73,2.22
20150511,24.44,0.00,23.43,2.87
20150512,28.88,0.00,27.07,3.60
20150513,21.40,0.00,23.30,4.55
20150614,27.21,0.00,23.31,3.36
20150615,34.27,0.00,23.94,3.60
20150616,27.74,0.00,24.35,0.54
20150617,23.41,0.00,24.55,4.25
20150618,32.88,0.00,23.00,4.60
20150619,28.63,0.00,19.28,2.43
20150620,27.53,0.00,19.00,4.20
20150621,33.93,0.00,22.78,4.84
20150622,27.89,4.72,23.53,3.36
20150623,34.65,0.00,26.73,4.29
20150624,32.99,0.00,27.41,2.94
20150625,27.89,0.00,20.57,3.15
20150626,30.30,3.04,23.46,3.46
20150627,34.78,0.00,21.65,3.34
20150628,32.43,0.00,25.26,3.07
20150601,29.18,0.00,23.59,4.35
20150602,33.04,3.67,26.53,3.37
20150603,20.51,0.00,29.49,3.34
20150604,27.04,0.00,22.75,3.89
20150605,34.27,5.48,23.33,4.05
20150606,31.21,0.00,27.69,2.30
20150607,30.23,0.00,22.72,2.57
20150608,30.06,0.00,22.67,3.73
20150609,34.75,0.00,25.33,4.59
20150610,26.11,5.77,20.73,5.28
20150611,28.07,8.43,22.57,2.86
20150612,33.17,0.00,25.75,3.34
20150613,28.96,0.00,27.40,2.03
20150614,34.59,0.00,25.42,4.36
20150615,37.23,0.00,24.66,1.45
20150716,32.05,0.00,23.54,4.64
20150717,32.33,0.00,23.41,3.80
20150718,30.28,0.00,22.36,3.14
20150719,32.59,4.55,25.01,3.01
20150720,35.48,0.00,23.16,3.26
20150721,37.22,1.20,27.07,3.20
20150722,31.63,0.00,23.75,4.71
20150723,39.90,0.00,23.40,5.27
20150724,32.45,0.00,22.85,3.10
20150725,33.02,0.00,24.36,3.51
20150726,34.28,0.00,23.08,3.66
20150727,32.32,0.00,25.77,2.34
20150728,24.27,0.00,22.89,4.77
20150701,31.68,0.00,27.70,3.82
20150702,30.19,0.00,24.38,2.74
20150703,33.52,0.00,20.42,3.06
20150704,33.85,0.00,24.99,2.96
20150705,37.74,0.00,22.74,3.79
20150706,27.47,0.00,25.39,3.63
20150707,29.53,6.63,22.13,3.21
20150708,33.98,0.00,19.14,4.07
20150709,32.67,0.00,21.27,1.28
20150710,26.65,0.00,26.86,5.76
20150711,32.79,0.00,21.95,3.85
20150712,33.26,0.00,25.22,2.51
20150713,22.78,0.00,20.14,5.64
20150714,30.63,0.00,23.61,4.41
20150715,31.51,0.00,24.34,3.92
20150716,28.42,0.00,24.07,3.75
20150717,34.63,0.00,21.65,3.26
20150818,33.50,0.00,24.33,4.62
20150819,22.82,0.00,20.43,2.77
20150820,31.44,7.53,22.58,2.62
20150821,29.36,0.00,16.79,5.12
20150822,28.41,0.00,16.46,2.98
20150823,33.94,0.00,23.58,2.53
20150824,28.20,0.00,22.46,3.86
20150825,29.83,3.96,19.45,3.34
20150826,29.63,0.00,20.10,4.88
20150827,27.63,0.00,23.87,4.14
20150828,30.05,0.00,18.18,2.17
20150801,28.25,0.00,20.73,5.28
20150802,36.46,0.00,21.33,2.49
20150803,30.85,0.00,23.50,2.88
20150804,31.66,0.00,23.37,4.01
20150805,37.13,0.00,24.60,1.78
20150806,26.01,0.00,23.52,2.78
20150807,25.99,0.00,20.78,3.89
20150808,26.84,0.00,17.41,1.20
20150809,33.82,0.00,19.26,4.02
20150810,31.23,0.00,20.96,4.28
20150811,28.71,0.00,14.23,4.67
20150812,30.61,0.00,20.00,2.52
20150813,25.86,0.00,21.07,3.32
20150814,31.15,0.00,21.98,5.05
20150815,28.88,2.91,18.80,2.22
20150816,32.35,0.00,13.78,1.53
20150817,26.48,0.00,21.49,3.59
20150818,29.49,0.00,21.61,3.14
20150819,29.55,0.00,20.40,3.97
20150820,32.59,0.00,17.70,3.54
20150921,22.11,0.00,21.58,2.81
20150922,19.84,0.00,17.39,3.42
20150923,23.92,0.00,16.23,4.98
20150924,25.19,0.00,19.68,3.26
20150925,27.73,0.00,17.11,3.19
20150926,27.68,0.00,16.06,2.61
20150927,23.23,0.00,17.68,3.11
20150928,25.89,0.00,16.11,4.45
20150901,15.74,0.00,20.45,4.99
20150902,25.70,0.00,19.02,3.02
20150903,30.95,0.00,18.79,2.59
20150904,28.45,0.00,16.65,3.02
20150905,23.87,0.00,18.69,4.30
20150906,37.80,0.00,19.20,2.79
20150907,23.19,0.00,19.18,3.73
20150908,24.30,0.00,18.47,2.97
20150909,25.18,0.00,16.20,2.85
20150910,19.30,0.00,16.50,2.72
20150911,19.81,0.00,14.22,5.59
20150912,22.16,0.00,15.91,1.66
20150913,16.88,0.00,15.91,2.24
20150914,29.30,0.00,18.42,4.66
20150915,21.35,0.00,15.93,1.59
20150916,12.64,0.00,17.30,3.55
20150917,28.76,0.00,16.55,4.22
20150918,17.42,0.00,16.01,4.58
20150919,26.18,0.00,13.61,4.22
20150920,25.38,0.00,16.50,4.25
20150921,25.58,0.00,15.81,3.68
20150922,20.85,0.00,14.04,2.35
20151023,19.55,0.00,15.81,4.22
20151024,19.64,0.00,13.52,4.24
20151025,21.51,0.00,12.89,4.22
20151026,19.76,0.00,20.31,4.04
20151027,19.85,0.00,12.84,3.30
20151028,20.92,0.00,13.85,3.29
20151001,19.34,0.00,17.32,3.39
20151002,20.86,0.00,11.04,3.50
20151003,17.14,0.00,11.67,2.49
20151004,19.52,0.00,15.23,3.45
20151005,19.00,0.00,15.89,4.62
20151006,22.14,0.00,14.89,2.75
20151007,19.42,0.00,12.91,4.69
20151008,16.45,0.00,10.85,2.29
20151009,19.27,0.00,14.08,3.09
20151010,14.43,0.00,14.32,2.48
20151011,15.77,0.00,13.80,2.73
20151012,14.53,0.00,10.27,4.15
20151013,19.52,0.00,15.73,3.88
20151014,12.53,0.00,11.11,1.08
20151015,16.19,0.00,14.51,3.95
20151016,8.39,0.00,13.25,1.28
20151017,11.70,0.00,11.85,1.44
20151018,12.72,0.00,15.77,3.01
20151019,10.88,0.00,12.18,4.02
20151020,20.03,0.00,8.66,3.49
20151021,14.12,0.00,12.97,2.72
20151022,16.90,0.00,10.81,4.40
20151023,14.27,0.00,10.78,4.26
20151024,24.86,0.00,8.65,3.22
20151025,10.84,0.00,10.59,5.99
20151126,15.91,0.00,9.36,3.25
20151127,20.93,0.00,10.95,1.91
20151128,18.63,0.00,9.96,3.28
20151101,5.52,0.00,10.12,5.10
20151102,9.27,0.00,10.79,3.64
20151103,23.49,0.00,7.14,2.74
20151104,12.81,0.00,8.67,3.10
20151105,13.56,0.00,8.88,3.57
20151106,0.10,0.00,10.83,3.43
20151107,10.19,0.00,9.30,2.34
20151108,11.57,0.00,7.50,4.44
20151109,17.34,0.00,7.96,3.36
20151110,15.31,0.00,8.16,2.85
20151111,11.09,0.00,12.02,3.27
20151112,14.74,0.00,8.31,4.48
20151113,10.82,0.00,7.63,3.10
20151114,9.97,0.00,8.90,4.15
20151115,3.57,0.00,12.82,2.84
20151116,5.58,0.00,8.96,1.81
20151117,11.22,0.00,10.22,2.65
20151118,11.42,0.00,6.78,2.94
20151119,9.58,0.00,10.03,5.58
20151120,10.90,0.00,7.57,4.77
20151121,9.68,0.00,7.29,3.67
20151122,-1.33,0.00,7.09,2.42
20151123,14.85,0.00,8.42,3.29
20151124,9.86,0.00,5.45,2.88
20151125,4.74,0.00,10.48,3.01
20151126,5.22,0.00,9.28,5.09
20151127,8.74,0.00,6.83,2.70
20151228,0.47,0.00,8.59,3.08
20151201,15.86,0.00,11.37,3.69
20151202,11.17,0.00,7.62,3.82
20151203,9.49,0.00,8.72,3.16
20151204,4.99,0.00,7.30,3.08
20151205,8.51,0.00,9.25,2.66
20151206,0.44,0.00,8.44,3.03
20151207,6.91,0.00,7.78,3.81
20151208,2.04,0.00,6.49,1.96
20151209,7.57,0.00,8.00,4.19
20151210,7.31,0.00,8.59,1.58
20151211,2.05,0.00,8.40,4.58
20151212,1.09,0.00,6.56,4.69
20151213,9.06,0.00,7.75,3.31
20151214,4.46,0.00,8.21,5.17
20151215,4.48,0.00,5.87,2.91
20151216,6.53,0.00,7.21,3.25
20151217,2.86,0.00,10.30,2.01
20151218,11.81,0.00,7.97,3.25
20151219,8.37,0.00,6.99,3.47
20151220,-0.43,0.00,6.34,2.53
20151221,1.87,0.00,9.56,3.07
20151222,4.79,0.00,10.65,3.66
20151223,-2.17,0.00,8.75,5.36
20151224,2.12,0.00,7.75,2.02
20151225,3.04,0.00,9.52,1.02
20151226,9.63,0.00,9.77,3.48
20151227,5.19,0.00,8.26,2.40
20151228,8.56,0.00,8.95,3.78
20151201,3.12,0.00,5.52,3.70
20160101,5.42,0.00,5.00,4.77
20160102,3.58,0.00,7.63,2.84
20160103,2.62,0.00,7.11,5.50
20160104,8.95,0.00,7.07,1.54
20160105,-1.26,0.00,10.52,4.67
20160106,4.61,0.00,9.12,3.32
20160107,7.09,0.00,7.54,3.29
20160108,-2.66,0.00,9.34,3.78
20160109,-5.73,0.00,9.21,4.21
20160110,3.89,0.00,5.96,3.22
20160111,-0.11,0.00,10.95,5.07
20160112,4.29,0.00,10.21,3.90
20160113,11.84,0.00,5.00,3.50
20160114,2.89,0.00,9.03,3.49
20160115,2.79,0.00,9.56,3.84
20160116,4.86,0.00,6.65,4.65
20160117,3.31,0.00,11.78,3.93
20160118,2.47,0.00,9.71,1.98
20160119,3.03,0.00,11.81,5.14
20160120,1.46,0.00,6.50,3.70
20160121,7.65,0.00,6.64,4.36
20160122,3.86,0.00,8.58,2.67
20160123,6.28,0.00,11.71,2.91
20160124,-2.91,0.00,10.09,1.96
20160125,1.60,0.00,6.75,4.27
20160126,6.01,0.00,9.48,2.93
20160127,3.14,0.00,9.68,3.34
20160128,1.82,0.00,13.85,2.33
20160101,4.25,0.00,11.78,2.70
20160102,12.93,0.00,9.27,2.19
20160103,7.54,0.00,9.40,2.62
20160204,2.73,0.00,11.86,1.36
20160205,-4.28,0.00,8.48,4.11
20160206,5.73,0.00,12.07,3.15
20160207,4.75,0.00,11.84,2.80
20160208,-0.55,0.00,10.36,3.27
20160209,1.62,0.00,7.11,2.94
20160210,10.88,0.00,11.48,3.88
20160211,7.54,0.00,12.77,3.57
20160212,7.93,0.00,10.99,4.65
20160213,11.83,0.00,9.42,3.26
20160214,-2.44,0.00,9.54,3.99
20160215,7.23,0.00,9.19,3.07
20160216,6.86,0.00,10.90,3.04
20160217,5.65,0.00,12.00,2.76
20160218,1.75,0.00,9.72,3.02
20160219,12.34,0.00,12.11,3.84
20160220,13.94,0.00,12.65,3.23
20160221,7.78,0.00,11.25,3.97
20160222,-1.25,0.00,13.35,2.48
20160223,3.63,0.00,10.33,3.06
20160224,4.61,0.00,10.90,1.33
20160225,17.32,0.00,13.12,3.35
20160226,13.37,0.00,14.73,4.59
20160227,11.51,0.00,14.41,1.85
20160228,11.87,0.00,13.33,2.11
20160201,13.81,0.00,14.10,1.59
20160202,7.97,0.00,11.43,2.77
20160203,15.92,0.00,13.78,5.55
20160204,3.34,0.00,12.49,2.80
20160205,7.58,0.00,10.31,2.30
20160306,7.16,0.00,15.64,3.06
20160307,11.06,0.00,13.16,3.65
20160308,7.43,0.00,13.29,3.46
20160309,10.98,0.00,12.45,2.08
20160310,9.89,0.00,12.94,3.32
20160311,7.52,0.00,14.93,2.53
20160312,12.02,0.00,15.70,4.03
20160313,10.70,0.00,16.43,3.86
20160314,3.65,0.00,14.93,4.22
20160315,7.23,0.00,15.36,3.82
20160316,6.42,0.00,17.04,4.24
20160317,11.23,0.00,15.45,3.00
20160318,5.49,0.00,14.78,3.64
20160319,4.83,0.00,15.78,3.16
20160320,9.25,0.00,15.73,3.04
20160321,11.04,0.00,14.17,3.07
20160322,10.16,0.00,12.86,2.31
20160323,12.92,0.00,16.03,5.39
20160324,16.00,0.00,16.68,3.28
20160325,10.10,0.00,13.19,1.08
20160326,9.04,0.00,14.21,3.37
20160327,12.09,0.00,18.05,4.41
20160328,17.35,0.00,15.39,3.84
20160301,13.19,0.00,17.35,2.31
20160302,7.96,0.00,20.20,4.51
20160303,29.54,0.00,15.54,1.12
20160304,11.47,0.00,20.15,2.39
20160305,13.84,0.00,14.43,3.16
20160306,14.06,0.00,17.75,4.09
20160307,21.04,0.00,16.95,3.41
20160308,17.60,0.00,15.55,2.88
20160409,19.00,0.00,19.25,2.02
20160410,18.73,0.00,17.36,3.38
20160411,15.64,0.00,17.04,2.68
20160412,18.29,0.00,18.71,3.25
20160413,21.09,0.00,16.63,2.17
20160414,22.06,0.00,15.76,3.64
20160415,19.13,0.00,19.28,2.91
20160416,23.23,0.00,20.86,4.45
20160417,20.02,0.00,16.61,5.35
20160418,18.41,0.00,18.93,4.35
20160419,20.03,0.00,14.37,3.46
20160420,18.17,0.00,19.09,3.34
20160421,17.20,0.00,19.74,2.89
20160422,15.69,0.00,19.56,3.04
20160423,18.16,0.00,17.85,1.52
20160424,23.42,0.00,20.37,3.28
20160425,21.72,0.00,17.07,4.55
20160426,16.01,0.00,18.48,0.97
20160427,17.68,0.00,22.51,0.89
20160428,14.37,0.00,22.01,4.59
20160401,27.10,3.50,21.99,3.13
20160402,21.18,0.00,19.50,4.29
20160403,17.29,0.00,19.00,3.48
20160404,20.30,0.00,16.55,2.51
20160405,25.99,0.00,19.25,4.49
20160406,19.70,0.00,21.12,3.77
20160407,26.25,11.44,18.59,3.04
20160408,21.66,0.00,20.96,3.56
20160409,15.80,0.00,22.05,5.05
20160410,25.91,0.00,18.75,3.35
20160511,23.02,0.00,19.69,3.51
20160512,25.23,0.00,25.74,2.38
20160513,17.18,0.00,18.95,3.14
20160514,23.31,0.00,23.07,3.99
20160515,24.40,0.00,23.31,3.04
20160516,26.42,0.00,21.67,2.88
20160517,31.20,0.00,18.94,3.83
20160518,14.30,0.00,23.38,4.75
20160519,25.49,0.00,25.81,4.37
20160520,30.02,0.00,23.29,1.58
20160521,26.97,0.00,20.07,1.87
20160522,29.82,0.00,21.03,4.57
20160523,25.78,0.00,21.50,1.61
20160524,25.95,0.00,20.88,4.14
20160525,30.05,0.00,23.57,3.23
20160526,24.93,0.00,21.11,2.98
20160527,25.99,0.00,24.14,2.40
20160528,31.92,0.00,26.69,3.51
20160501,24.63,0.00,23.44,3.27
20160502,26.61,0.00,18.40,3.05
20160503,26.34,1.19,22.60,2.22
20160504,29.79,0.00,23.23,3.74
20160505,26.40,0.00,24.09,4.11
20160506,31.16,8.33,20.30,2.94
20160507,27.67,0.00,26.75,4.54
20160508,27.42,0.00,20.44,2.37
20160509,33.50,0.00,24.54,2.66
20160510,27.08,15.65,24.37,4.38
20160511,19.62,0.00,20.07,2.65
20160512,31.42,0.00,19.98,4.54
20160513,27.58,0.00,24.50,3.19
20160614,35.79,0.00,27.62,2.49
20160615,25.18,0.00,24.10,2.26
20160616,26.53,0.00,24.05,4.55
20160617,30.97,0.00,22.19,3.59
20160618,29.93,3.14,25.85,3.71
20160619,28.43,0.00,27.81,2.81
20160620,39.15,0.00,20.86,5.42
20160621,29.59,0.00,24.74,3.16
20160622,33.92,0.00,24.75,3.26
20160623,23.24,0.00,22.84,3.26
20160624,32.02,0.00,25.00,3.98
20160625,38.15,0.00,24.61,2.75
20160626,30.49,0.00,24.75,3.19
20160627,29.21,0.00,24.85,3.65
20160628,26.04,0.00,24.01,3.72
20160601,30.85,0.00,24.47,2.99
20160602,27.52,0.00,25.45,3.98
20160603,31.74,0.00,23.30,3.24
20160604,25.41,0.00,24.13,2.11
20160605,37.07,0.00,21.39,3.20
20160606,27.90,0.00,21.22,3.86
20160607,32.80,0.00,20.18,2.61
20160608,30.52,0.00,24.10,4.11
20160609,33.20,0.00,23.68,2.98
20160610,30.21,0.00,25.39,3.67
20160611,23.96,3.03,26.27,3.34
20160612,32.94,0.00,25.77,3.32
20160613,24.43,0.00,22.37,3.38
20160614,31.29,1.50,26.33,2.71
20160615,29.28,0.00,22.64,4.66
20160716,33.54,5.73,22.61,3.60
20160717,27.58,0.00,23.14,3.99
20160718,37.26,0.00,20.88,3.39
20160719,31.23,0.00,25.44,4.52
20160720,29.20,0.00,18.56,2.78
20160721,35.34,0.00,25.50,4.09
20160722,34.52,4.79,25.80,3.78
20160723,31.98,0.00,26.64,2.81
20160724,35.49,0.00,28.29,3.12
20160725,29.70,0.00,25.40,2.40
20160726,34.74,0.00,26.21,5.01
20160727,36.72,0.00,20.59,0.76
20160728,42.66,0.00,22.61,3.49
20160701,34.55,0.00,23.51,3.44
20160702,26.92,0.00,26.78,3.48
20160703,31.58,0.00,28.15,3.51
20160704,34.50,0.00,23.88,0.91
20160705,23.10,0.00,22.78,3.86
20160706,32.36,0.00,23.62,3.29
20160707,33.71,13.21,22.26,4.38
20160708,30.55,0.00,25.91,4.27
20160709,30.24,0.00,23.85,2.52
20160710,40.03,8.29,21.85,4.40
20160711,26.97,0.00,22.02,5.68
20160712,34.29,0.00,21.87,4.04
20160713,23.38,0.00,23.54,2.94
20160714,23.85,0.00,23.86,4.85
20160715,30.20,0.00,19.89,4.12
20160716,32.81,0.00,19.38,4.50
20160717,31.94,0.00,21.37,3.27
20160818,32.50,0.00,20.44,3.56
20160819,31.08,0.00,23.88,1.60
20160820,30.71,0.00,23.70,3.69
20160821,31.14,0.00,23.26,5.16
20160822,30.11,0.00,23.27,3.45
20160823,31.14,0.00,20.68,3.41
20160824,27.62,0.00,23.58,3.71
20160825,30.11,0.00,21.07,4.55
20160826,33.59,0.00,18.75,3.89
20160827,31.05,0.00,18.05,3.29
20160828,30.96,0.00,21.29,3.72
20160801,20.53,0.00,19.60,1.86
20160802,30.20,0.00,18.50,2.00
20160803,30.90,0.00,20.53,2.28
20160804,30.00,0.00,22.67,3.35
20160805,35.40,0.00,22.50,5.28
20160806,30.08,0.00,20.23,3.04
20160807,29.18,0.00,20.09,5.65
20160808,31.82,0.00,23.66,4.88
20160809,24.48,15.51,20.43,2.89
20160810,24.17,0.00,18.31,3.97
20160811,36.00,0.00,19.40,4.07
20160812,30.59,0.00,20.24,2.20
20160813,21.06,0.00,16.02,2.78
20160814,27.46,16.58,18.50,2.94
20160815,23.65,0.00,17.71,3.16
20160816,26.83,0.00,18.53,2.62
20160817,32.37,0.00,14.73,4.55
20160818,30.95,0.00,16.36,3.35
20160819,23.00,0.00,16.29,5.20
20160820,31.11,0.00,18.27,3.48
20160921,25.11,0.00,22.01,2.71
20160922,23.12,0.00,16.91,2.90
20160923,24.24,0.00,20.62,2.67
20160924,31.24,0.00,16.13,3.60
20160925,24.53,0.00,19.25,5.72
20160926,13.30,0.00,17.64,3.12
20160927,24.97,0.00,12.95,4.04
20160928,24.04,0.00,19.69,3.28
20160901,28.04,0.00,19.78,1.42
20160902,21.88,0.00,15.56,3.14
20160903,32.91,0.00,16.41,3.15
20160904,30.28,0.00,17.82,4.17
20160905,26.23,0.00,14.04,4.01
20160906,16.28,0.00,13.44,3.70
20160907,23.10,0.00,15.87,2.18
20160908,20.73,0.00,16.82,3.62
20160909,29.12,0.00,18.80,3.68
20160910,23.68,0.00,14.25,2.22
20160911,18.52,0.00,16.66,2.42
20160912,27.16,0.00,14.89,1.87
20160913,18.47,0.00,16.46,2.64
20160914,26.74,0.00,15.58,4.36
20160915,23.35,0.00,13.13,4.60
20160916,11.62,0.00,11.58,2.69
20160917,24.46,0.00,14.15,3.23
20160918,28.77,0.00,15.35,2.63
20160919,18.92,0.00,14.26,3.17
20160920,16.07,0.00,12.39,3.53
20160921,16.34,0.00,15.64,3.97
20160922,23.98,0.00,12.02,3.09
20161023,22.16,0.00,17.65,4.77
20161024,23.89,0.00,14.79,4.25
20161025,18.41,0.00,16.08,1.74
20161026,25.07,0.00,13.11,4.20
20161027,19.97,0.00,14.76,4.00
20161028,23.22,0.00,14.19,2.86
20161001,22.98,0.00,15.53,2.80
20161002,19.17,0.00,12.15,4.60
20161003,17.70,0.00,15.00,2.66
20161004,26.04,0.00,12.60,5.68
20161005,11.02,0.00,14.05,4.00
20161006,13.47,0.00,10.57,4.48
20161007,16.45,0.00,12.00,3.31
20161008,21.10,0.00,11.30,2.58
20161009,12.73,0.00,13.67,2.33
20161010,10.07,0.00,11.39,3.97
20161011,15.86,0.00,14.04,4.48
20161012,15.21,0.00,11.13,2.21
20161013,16.72,0.00,15.01,3.35
20161014,8.62,0.00,11.59,4.04
20161015,19.60,0.00,10.46,3.01
20161016,12.29,0.00,12.19,2.66
20161017,13.63,0.00,10.40,4.00
20161018,12.65,0.00,13.10,3.24
20161019,8.42,0.00,10.42,4.01
20161020,20.64,0.00,10.99,4.84
20161021,10.97,0.00,12.09,3.32
20161022,12.77,0.00,14.05,3.94
20161023,10.91,0.00,12.84,5.15
20161024,16.27,0.00,13.57,4.26
20161025,13.41,0.00,10.87,4.32
20161126,8.34,0.00,11.62,1.84
20161127,7.19,0.00,10.01,3.42
20161128,12.77,0.00,10.16,2.53
20161101,0.62,0.00,11.82,3.97
20161102,11.52,0.00,11.09,3.27
20161103,5.96,0.00,7.20,2.90
20161104,18.14,0.00,10.29,4.38
20161105,10.92,0.00,8.85,3.27
20161106,4.70,0.00,10.36,4.02
20161107,11.50,0.00,8.91,1.85
20161108,12.88,13.11,9.85,5.47
20161109,4.64,0.00,9.88,4.99
20161110,5.03,0.00,8.98,2.74
20161111,8.54,0.00,9.52,1.98
20161112,6.86,0.00,6.37,2.59
20161113,7.49,0.00,12.77,1.67
20161114,9.15,0.00,7.79,4.49
20161115,8.95,0.00,11.25,3.83
20161116,4.38,0.00,10.61,3.14
20161117,2.49,0.00,5.91,2.58
20161118,4.87,0.00,10.08,6.78
20161119,10.55,0.00,8.14,3.21
20161120,8.93,0.00,7.60,3.33
20161121,6.83,0.00,10.45,4.40
20161122,5.80,0.00,9.93,3.06
20161123,6.63,0.00,9.29,4.67
20161124,2.52,0.00,7.56,4.03
